mlbam_id,Name,Team,GS,IP,ER,R,ERA,ip_f,starter_id,handoffs,bq_runners,actual_bq,exp_re_emp,exp_re_pub,exp_sp_emp,exp_sp_pub,adjERA_re_emp,adjERA_re_pub,adjERA_sp_emp,adjERA_sp_pub,adjRA9_sp_emp,RA9,delta,delta_pct
543294,Kyle Hendricks,Los Angeles Angels,31,164.2,87,92,4.76,164.66666666666663,543294,11,19,11,7.827770707804479,7.638999999999999,8.098408531318086,7.94,4.581679775527776,4.5713623481781385,4.596471721347346,4.5878137651821875,4.869751073574067,5.028340080971661,-0.16352827865265418,-0.03435468038921306
668678,Zac Gallen,Arizona Diamondbacks,33,192.0,103,109,4.83,192.0,668678,10,15,8,5.443231387275913,5.492,5.725438838229693,5.69,4.708276471278558,4.7105625,4.721504945542017,4.71984375,5.002754945542017,5.109375,-0.10849505445798346,-0.022462744194199476
571945,Miles Mikolas,St. Louis Cardinals,31,156.1,84,87,4.84,156.33333333333331,571945,11,16,6,5.32369740430979,5.305,5.290665229132496,5.42,4.796886630951737,4.795810234541579,4.794984991869036,4.802430703624734,4.967692880994836,5.008528784648188,-0.04501500813096371,-0.009300621514661923
650644,Aaron Civale,Chicago Cubs,18,102.0,55,59,4.85,102.0,650644,5,6,5,1.829380274905283,1.832,1.8128423824718856,1.87,4.573180612491643,4.573411764705883,4.571721386688696,4.576764705882352,4.924662563159284,5.205882352941177,-0.2782786133113033,-0.05737703367243368
669358,Shane Baz,Tampa Bay Rays,31,166.1,90,91,4.87,166.33333333333331,669358,12,22,11,6.795926163203116,6.867,7.243949091718245,7.18,4.642264541896763,4.646110220440883,4.666506263479746,4.66304609218437,4.720614479912611,4.923847695390782,-0.2034937365202545,-0.041785161503132336
676106,Emerson Hancock,Seattle Mariners,16,90.0,49,51,4.9,90.0,676106,3,6,2,1.4433454790346127,1.5050000000000001,1.5761725012668524,1.51,4.844334547903461,4.8505,4.857617250126685,4.851,5.057617250126685,5.1,-0.04238274987331536,-0.008649540790472521
621111,Walker Buehler,Philadelphia Phillies,24,126.0,69,73,4.93,126.0,621111,8,14,5,5.702842907281681,5.67,5.869642920102039,5.79,4.978774493377263,4.976428571428571,4.9906887800072885,4.985,5.276403065721574,5.214285714285714,0.060688780007288834,0.01231009736456163
669160,Dustin May,Boston Red Sox,23,132.1,73,78,4.96,132.33333333333331,669160,6,10,6,2.395825837163064,2.447,2.5705596145004255,2.61,4.7196153592025265,4.7230957178841315,4.731499016603304,4.734181360201512,5.071549394437057,5.30478589420655,-0.228500983396696,-0.04606874665255968
607536,Kyle Freeland,Colorado Rockies,31,162.2,90,105,4.98,162.66666666666663,607536,10,18,8,4.994697272715702,5.029,5.194649432898337,5.16,4.813231201564189,4.815129098360656,4.82429412845954,4.822377049180329,5.654212161246425,5.809426229508198,-0.15570587154046045,-0.0312662392651527
593958,Eduardo Rodriguez,Arizona Diamondbacks,29,154.1,86,94,5.02,154.33333333333331,593958,16,26,7,8.481454860284936,8.663,8.68475689714401,8.77,5.101510326625688,5.112097192224622,5.113365952965202,5.118336933045357,5.579888631150947,5.481641468682506,0.09336595296520223,0.018598795411394867
676664,JP Sears,San Diego Padres,27,135.2,76,79,5.04,135.66666666666663,676664,12,15,3,4.729393913822685,4.766,4.851463173948972,5.02,5.1564954193445045,5.1589238329238345,5.164593380089983,5.175773955773957,5.363610579107181,5.2407862407862424,0.12459338008998255,0.024720908748012412
671737,Taj Bradley,Minnesota Twins,27,142.2,80,88,5.05,142.66666666666663,671737,10,19,12,7.049914472807832,7.026,7.2323358839234535,7.1899999999999995,4.734457221415449,4.732948598130842,4.745965114172743,4.743294392523366,5.250638011369005,5.55140186915888,-0.3040348858272566,-0.06020492788658546
